job_id,platform,category_mapped,job_title,company,location,url
1,TechInAsia,AI,AI Engineer,Cakap,Bank,https://www.techinasia.com/jobs/d0490770-4aef-4b06-8a49-ad7506a59ed3
2,TechInAsia,AI,AI/ML Engineer,PT Allo Bank Indonesia Tbk,Bank,https://www.techinasia.com/jobs/979a64a7-e063-4acf-871b-56e492abdde7
3,TechInAsia,AI,AI Engineer (AI Agent & RAG),Cakap,Bank,https://www.techinasia.com/jobs/d7d38607-e28f-446e-a665-4f54e706e25f
4,TechInAsia,AI,AI Engineer,Cakap,Bank,https://www.techinasia.com/jobs/175be2ac-0cc4-4c8e-b26f-41dbe080dce0
5,TechInAsia,AI,AI Growth Technologist (Student Trainee),Cakap,Bank,https://www.techinasia.com/jobs/34068dc9-29b5-41ab-90e8-691f0a48556b
6,TechInAsia,AI,AI Growth Technologist,Cakap,Bank,https://www.techinasia.com/jobs/c8d12c64-bf2b-4003-9b26-093d6dcdcfb7
7,TechInAsia,AI,AI & Data Engineer (AI-Native Technologist),Cakap,Bank,https://www.techinasia.com/jobs/e8e1f328-4dea-480c-8cfe-7a5ab01f8f13
8,TechInAsia,AI,Creative AI Video Producer (Placement at Major SEA Media Group),Cakap,Bank,https://www.techinasia.com/jobs/0ce08d8a-48d4-4308-9c78-6bd889cfad6e
9,TechInAsia,AI,Research Assistant (AI/IT/Machine Learning),Cakap,Bank,https://www.techinasia.com/jobs/76dba70f-53f3-4e70-951e-9447c23da47e
10,TechInAsia,AI,Head of AI,bld.ai,Unknown,https://www.techinasia.com/jobs/8aee5191-b6a6-4e58-8bc8-1669e8230dde
11,TechInAsia,AI,Sr. Full-Stack AI Engineer [Influence ID],bld.ai,Unknown,https://www.techinasia.com/jobs/0daa2bd6-51af-48df-baa2-8a04b5b2a404
12,TechInAsia,AI,Management Trainee Program - AI SEO Specialization [PH Hiring],bld.ai,Unknown,https://www.techinasia.com/jobs/f430c722-d9a8-4ecf-abb5-8c0629afba1d
13,TechInAsia,AI,Full Stack Developer (AI-Native Technologist),bld.ai,Unknown,https://www.techinasia.com/jobs/bd5bb93b-8c6f-40c8-af74-767976d92da5
14,TechInAsia,AI,Product Manager (Technology Outsourcing & AI Development),bld.ai,Unknown,https://www.techinasia.com/jobs/588dfcb0-4fdb-4b55-9412-5b006935b061
15,TechInAsia,AI,System Analyst,bld.ai,Unknown,https://www.techinasia.com/jobs/7972394f-34f1-46c4-844d-631d450076bd
16,TechInAsia,AI,ETL Developer,bld.ai,Unknown,https://www.techinasia.com/jobs/abd97ba5-a71a-4bc4-a0a2-3d0f3d45afa8
17,TechInAsia,AI,Data Engineer (Senior),bld.ai,Unknown,https://www.techinasia.com/jobs/d0db8616-bcfb-4938-9437-1b015fe0e2de
18,TechInAsia,AI,QA Engineer II (Mekari Jurnal),bld.ai,Unknown,https://www.techinasia.com/jobs/5ddf6f4c-50f5-48a2-a454-2fa590d9d169
19,TechInAsia,Data Science,Customer Success Manager (International Markets),Jublia,2026,https://www.techinasia.com/jobs/17669eac-745d-44cb-b452-0575a20914b5
20,TechInAsia,Data Science,Senior QA Engineer,Jublia,2026,https://www.techinasia.com/jobs/6c7fc9ea-3fff-4189-b331-6606d60d7ffb
21,TechInAsia,Data Science,Technical Project Manager,Jublia,2026,https://www.techinasia.com/jobs/846413cd-a9b1-46c4-88b0-a563b83d4cee
22,TechInAsia,Data Science,Digital Analytics Internship,Jublia,2026,https://www.techinasia.com/jobs/c5fae23d-2fda-4dfc-9590-93c6fd135451
23,TechInAsia,Data Science,Power BI Developer,Jublia,2026,https://www.techinasia.com/jobs/f219d367-7079-41e5-a5b2-4472acf296d9
24,TechInAsia,UI UX,UI/UX Designer,Sagara Technology Group,Consulting,https://www.techinasia.com/jobs/ba3c09bd-72f2-423e-ac3b-fb19883a6a63
25,TechInAsia,UI UX,UI/UX Designer for Mobile App,PT Appfuxion Consulting Indonesia,Consulting,https://www.techinasia.com/jobs/10897e87-6cd2-4887-9567-48dad07b6b0f
